date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:39:38	34605/34605	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Jul%202020%2001:56:44%20GMT	http://webangon.com/html/robert/index-3-black.html	E:/work+project/project/programming-team/webangon.com/html/robert/index-3-black.html	(from )
14:39:54	70/70	---M-Z	200	added ('OK')	text/plain	etag:%229929-1629367794;gz%22	http://webangon.com/robots.txt		(from )
14:39:58	13338/13338	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Aug%202021%2010:09:55%20GMT	http://webangon.com/html/robert/site.webmanifest	E:/work+project/project/programming-team/webangon.com/html/robert/site.2.delayed	(from http://webangon.com/html/robert/index-3-black.html)
14:39:58	2102/2102	---M--	200	added ('OK')	image/x-icon	date:Thu,%2019%20Aug%202021%2010:09:59%20GMT	http://webangon.com/html/robert/favicon.ico	E:/work+project/project/programming-team/webangon.com/html/robert/favicon.ico	(from http://webangon.com/html/robert/index-3-black.html)
14:39:59	31000/31000	---M-Z	200	added ('OK')	text/css	date:Mon,%2025%20Jun%202018%2015:53:12%20GMT	http://webangon.com/html/robert/css/font-awesome.min.css	E:/work+project/project/programming-team/webangon.com/html/robert/css/font-awesome.min.css	(from http://webangon.com/html/robert/index-3-black.html)
14:40:00	16952/16952	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Jul%202017%2018:28:16%20GMT	http://webangon.com/html/robert/css/animate.min.css	E:/work+project/project/programming-team/webangon.com/html/robert/css/animate.min.css	(from http://webangon.com/html/robert/index-3-black.html)
14:40:03	5035/5035	---M-Z	200	added ('OK')	text/css	date:Mon,%2007%20Jan%202019%2021:21:44%20GMT	http://webangon.com/html/robert/css/jquery.fancybox.css	E:/work+project/project/programming-team/webangon.com/html/robert/css/jquery.fancybox.css	(from http://webangon.com/html/robert/index-3-black.html)
14:40:04	3504/3504	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Nov%202017%2005:58:56%20GMT	http://webangon.com/html/robert/css/slicknav.css	E:/work+project/project/programming-team/webangon.com/html/robert/css/slicknav.css	(from http://webangon.com/html/robert/index-3-black.html)
14:40:05	2822/2822	---M-Z	200	added ('OK')	text/css	date:Wed,%2025%20Mar%202020%2016:28:38%20GMT	http://webangon.com/html/robert/css/jquery.pagepiling.css	E:/work+project/project/programming-team/webangon.com/html/robert/css/jquery.pagepiling.css	(from http://webangon.com/html/robert/index-3-black.html)
14:40:05	140936/140936	---M-Z	200	added ('OK')	text/css	date:Mon,%2023%20Jul%202018%2022:37:28%20GMT	http://webangon.com/html/robert/css/bootstrap.min.css	E:/work+project/project/programming-team/webangon.com/html/robert/css/bootstrap.min.css	(from http://webangon.com/html/robert/index-3-black.html)
